Gene,Fraction,Condition,Ct1,Ct2,Ct3
ATF4,1,Treated,25.073,25.51033333,26.735
ATF4,2,Treated,26.0415,24.09166667,25.97033333
ATF4,3,Treated,21.686,22.18233333,23.61533333
ATF4,4,Treated,22.10266667,26.45533333,23.974
ATF4,5,Treated,26.43333333,23.52666667,25.95466667
ATF4,6,Treated,22.31366667,22.2,24.36766667
ATF4,7,Treated,25.11266667,21.37833333,23.58566667
ATF4,8,Treated,19.91566667,21.35233333,25.573
ATF4,9,Treated,18.93633333,20.75733333,23.753
ATF4,10,Treated,19.73933333,19.67866667,21.65333333
ATF4,11,Treated,18.79166667,22.46733333,22.26133333
ATF4,12,Treated,18.70733333,19.88066667,21.51833333
ATF4,1,Untreated,27.56866667,27.66733333,29.10766667
ATF4,2,Untreated,27.25333333,26.593,26.38166667
ATF4,3,Untreated,21.751,21.931,24.27133333
ATF4,4,Untreated,21.29466667,22.098,28.03933333
ATF4,5,Untreated,19.09533333,32.45233333,23.85666667
ATF4,6,Untreated,19.25266667,23.365,23.59966667
ATF4,7,Untreated,22.60933333,20.47033333,22.67033333
ATF4,8,Untreated,18.40733333,20.224,21.94166667
ATF4,9,Untreated,17.83066667,23.616,22.01066667
ATF4,10,Untreated,19.17433333,20.77533333,22.84633333
ATF4,11,Untreated,21.19866667,22.28333333,26.554
ATF4,12,Untreated,21.212,22.84533333,25.618
