Gene,Fraction,Condition,Ct1,Ct2,Ct3
GOI,1,Treated,15.042,21.37733333,22.82366667
GOI,2,Treated,16.02433333,16.35766667,18.631
GOI,3,Treated,16.025,14.31433333,16.987
GOI,4,Treated,16.39133333,20.28433333,18.83533333
GOI,5,Treated,19.287,18.366,20.50266667
GOI,6,Treated,18.64,15.74166667,17.20633333
GOI,7,Treated,19.95166667,15.60533333,17.38866667
GOI,8,Treated,18.00766667,16.065,18.11166667
GOI,9,Treated,21.10566667,16.34866667,18.29
GOI,10,Treated,14.89966667,15.968,16.82566667
GOI,11,Treated,15.77566667,18.942,17.77966667
GOI,12,Treated,17.179,17.422,18.146
GOI,1,Untreated,24.572,24.19433333,24.725
GOI,2,Untreated,23.09466667,20.42133333,20.285
GOI,3,Untreated,17.872,17.76833333,20.91266667
GOI,4,Untreated,19.08866667,19.526,25.66866667
GOI,5,Untreated,19.69733333,19.86833333,22.06666667
GOI,6,Untreated,18.58033333,21.78333333,20.88433333
GOI,7,Untreated,22.28833333,20.21833333,21.438
GOI,8,Untreated,18.584,20.32933333,20.92533333
GOI,9,Untreated,21.38733333,23.929,21.59466667
GOI,10,Untreated,15.23033333,20.32333333,21.78833333
GOI,11,Untreated,17.93966667,20.05666667,22.37333333
GOI,12,Untreated,15.03233333,17.942,20.00666667
